Date,Open,High,Low,Close,Adj Close,Volume
21-12-2015,46.338001,47.310001,45.625999,46.113998,46.113998,30888500
28-12-2015,46.298,48.726002,45.108002,48.001999,48.001999,53602500
04-01-2016,46.144001,46.276001,42.153999,42.200001,42.200001,104877000
11-01-2016,42.801998,42.889999,38.675999,40.998001,40.998001,116895000
18-01-2016,41.742001,42.094002,38.25,40.509998,40.509998,80838000
25-01-2016,40.012001,40.714001,36.481998,38.240002,38.240002,93626000
01-02-2016,37.751999,39.903999,31.548,32.52,32.52,164128000
08-02-2016,31.42,32.652,28.209999,30.208,30.208,249296500
15-02-2016,31.74,34.59,30.822001,33.316002,33.316002,91330000
22-02-2016,34.023998,38.400002,33.568001,38.068001,38.068001,141279500
29-02-2016,38.48,40.806,36.299999,40.208,40.208,136958500
07-03-2016,39.535999,42.658001,39.48,41.5,41.5,106261500
14-03-2016,42.529999,46.896,42.127998,46.548,46.548,96288000
21-03-2016,47.068001,47.976002,43,45.549999,45.549999,97667500
28-03-2016,46.321999,49.580002,45,47.518002,47.518002,179917000
04-04-2016,49.824001,53.868,48,50.014,50.014,256748000
11-04-2016,50.200001,51.798,48.726002,50.902,50.902,138675500
18-04-2016,50.445999,51.661999,48.25,50.75,50.75,111962000
25-04-2016,50.602001,51.476002,47.562,48.152,48.152,90163500
02-05-2016,48.299999,48.638,41.622002,42.986,42.986,168933000
09-05-2016,43.144001,43.23,40.731998,41.521999,41.521999,102411000
16-05-2016,41.630001,44.110001,40.804001,44.056,44.056,136419500
23-05-2016,43.973999,45.186001,43.035999,44.608002,44.608002,94829000
30-05-2016,44.608002,44.950001,43.377998,43.798,43.798,50167500
06-06-2016,43.599998,48.169998,43.09,43.757999,43.757999,124769000
13-06-2016,43.900002,45.153999,42.506001,43.094002,43.094002,81173000
20-06-2016,43.900002,44.75,37.945999,38.630001,38.630001,244920500
27-06-2016,38.172001,43.647999,37.574001,43.299999,43.299999,148279000
04-07-2016,41.945999,43.962002,41.599998,43.355999,43.355999,88910000
11-07-2016,43.992001,45.5,43.902,44.080002,44.080002,92391000
18-07-2016,43.928001,45.959999,43.66,44.453999,44.453999,80520500
25-07-2016,44.453999,47.056,44.273998,46.958,46.958,81498000
01-08-2016,47.099998,47.326,44.279999,46.006001,46.006001,95953500
08-08-2016,45.599998,46.307999,44.681999,45.122002,45.122002,52520500
15-08-2016,45.203999,45.900002,44.458,45,45,47312500
